Sindaci e Vicesindaci - elenco completo Italia
aggiornato al 6/4/2020
codice_regione;codice_provincia;codice_comune;denominazione_comune;sigla_provincia;popolazione_censita;titolo_accademico;cognome;nome;sesso;data_nascita;luogo_nascita;descrizione_carica;data_elezione;data_entrata_in_carica;partito;titolo_studio;professione
01;002;0010;ACQUI TERME;AL;20054;;LUCCHINI;LORENZO GIUSEPPE;M;18/08/1963;REGNO UNITO;Sindaco;11/06/2017;26/06/2017;MOVIMENTO 5 STELLE.IT;LAUREA  BREVE;SPECIALISTI E TECNICI NELLE SCIENZE DELLA SALUTE E ADDETTI A SERVIZI SANITARI
01;002;0020;ALBERA LIGURE;AL;329;;LOVOTTI;RENATO;M;23/12/1946;ROCCHETTA LIGURE (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: INSIEME PER ALBERA;TITOLI O DIPLOMI PROFESSIONALI POST LIC.ELEMENTARE;PERSONE RITIRATE DAL LAVORO
01;002;0030;ALESSANDRIA;AL;89411;PROF;CUTTICA DI REVIGLIASCO;GIANFRANCO;M;30/06/1957;TORINO (TO);Sindaco;11/06/2017;27/06/2017;FRATELLI D'ITALIA - ALLEANZA NAZIONALE | FORZA ITALIA | LEGA NORD | LISTA CIVICA: SIAMO ALESSANDRIA;LAUREA;PROFESSORI DI SCUOLA SECONDARIA SUPERIORE E ASSIMILATI
01;002;0040;ALFIANO NATTA;AL;754;;ZEGLIO;SABRINA;F;31/03/1971;TORINO (TO);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: INSIEME PER IL FUTURO;LAUREA;AVVOCATI E PROCURATORI LEGALI
01;002;0050;ALICE BEL COLLE;AL;774;ARCH;MARTINO;GIANFRANCO;M;09/08/1972;ACQUI TERME (AL);Sindaco;11/06/2017;11/06/2017;LISTA CIVICA: UNITI PER CRESCERE;LAUREA;IMPIEGATI DI AMMINISTRAZIONI, ORGANI ED ENTI PUBBLICI (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)
01;002;0062;ALLUVIONI PIOVERA;AL;1791;;BETTI;GIUSEPPE FRANCESCO;M;08/02/1953;ALLUVIONI CAMBIO' (AL);Sindaco;10/06/2018;11/06/2018;LISTA CIVICA: PIU' FORTI INSIEME;;
01;002;0070;ALTAVILLA MONFERRATO;AL;497;;ARROBBIO;MASSIMO;M;19/04/1961;ALESSANDRIA (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: STRETTA DI MANO E SPIGHE DI GRANO;LICENZA DI SCUOLA MEDIA INF. O TITOLI EQUIPOLLENTI;COMMERCIANTI E ESERCENTI DI NEGOZIO
01;002;0080;ALZANO SCRIVIA;AL;380;;GUAGNINI;ADOLFO;M;09/02/1954;ALZANO SCRIVIA (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: LISTA CIVICA PER ALZANO SCRIVIA;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;IMPIEGATI  AMMINISTRATIVI NON ALTROVE CLASSIFICATI
01;002;0090;ARQUATA SCRIVIA;AL;6068;DOTT;BASSO;ALBERTO;M;09/10/1982;GENOVA (GE);Sindaco;05/06/2016;06/06/2016;LISTA CIVICA: VIVIAMO ARQUATA;LAUREA;Imprenditori, gestori e responsabili di piccole imprese
01;002;0100;AVOLASCA;AL;306;;GRAGNOLATI;MICHELE;M;23/07/1962;TORTONA (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: MICHELE GRAGNOLATI SINDACO;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;RAPPRESENTANTI DI COMMERCIO, VIAGGIATORI, MEDIATORI E ASSIMILATI
01;002;0110;BALZOLA;AL;1420;;TORRIANO;MARCO;M;17/08/1976;CASALE MONFERRATO (AL);Sindaco;26/05/2019;27/05/2019;;LAUREA;CONTABILI, ECONOMI, CASSIERI NON ALTROVE CLASSIFICATI
01;002;0120;BASALUZZO;AL;2071;;LUDOVICI;GIANFRANCO;M;05/07/1938;NOVI LIGURE (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: INSIEME PER BASALUZZO;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;PERSONE RITIRATE DAL LAVORO
01;002;0130;BASSIGNANA;AL;1742;;VISCHI;ELEONORA;F;22/06/1970;GENOVA (GE);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: COSTRUIAMO IL FUTURO;LICENZA MEDIA SUPERIORE;IMPIEGATI DI AZIENDE, IMPRESE, ENTI ECONOMICI E SOGGETTI DI DIRITTO PRIVATO (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)
01;002;0140;BELFORTE MONFERRATO;AL;505;;INCERPI;NADIA;F;06/05/1952;CAMPO LIGURE (GE);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: GRAPPOLO D'UVA E SPIGHE DI GRANO;LICENZA DI SCUOLA MEDIA INF. O TITOLI EQUIPOLLENTI;PERSONE RITIRATE DAL LAVORO
01;002;0150;BERGAMASCO;AL;765;;VEGGI;GIULIO;M;26/02/1951;TORINO (TO);Sindaco;26/05/2019;26/05/2019;LISTA CIVICA: INSIEME PER BERGAMASCO;LAUREA;IMPIEGATI  AMMINISTRATIVI NON ALTROVE CLASSIFICATI
01;002;0160;BERZANO DI TORTONA;AL;171;;RAVIOLO;MAURIZIO;M;09/07/1974;TORTONA (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: GRAPPOLO D'UVA E SPIGHE DI GRANO;LICENZA MEDIA SUPERIORE;ESERCENTI O ADDETTI AD ATTIVITA' AGRICOLE, FORESTALI, DI ALLEVAMENTO, CACCIA E PESCA
01;002;0170;BISTAGNO;AL;1930;;VALLEGRA;ROBERTO;M;02/08/1975;ACQUI TERME (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: BISTAGNO DA VIVERE;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;CARABINIERI, AGENTI DI POLIZIA, GUARDIE DI FINANZA, VIGILI DEL FUOCO E ASSIMILATI
01;002;0180;BORGHETTO DI BORBERA;AL;1991;;BUSSALINO;ENRICO;M;03/01/1977;NOVI LIGURE (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: INSIEME PER IL COMUNE DI BORGHETTO;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;GEOMETRI E PERITI EDILI
01;002;0190;BORGORATTO ALESSANDRINO;AL;617;;BIGOTTI;SIMONE;M;03/01/1980;ALESSANDRIA (AL);Sindaco;31/05/2015;31/05/2015;LISTA CIVICA: BORGORATTO INSIEME;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;RAPPRESENTANTI DI COMMERCIO, VIAGGIATORI, MEDIATORI E ASSIMILATI
01;002;0200;BORGO SAN MARTINO;AL;1470;;SERAZZI;GIOVANNI;M;28/01/1947;BORGO SAN MARTINO (AL);Sindaco;05/06/2016;05/06/2016;LISTA CIVICA: INSIEME PER BORGO;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;CONDUTTORI DI AZIENDE AD ORDINAMENTO PRODUTTIVO SPECIALIZZATO E ASSIMILATI
01;002;0210;BOSCO MARENGO;AL;2531;RAG;GAZZANIGA;GIANFRANCO;M;15/10/1965;ALESSANDRIA (AL);Sindaco;26/05/2019;27/05/2019;;LICENZA MEDIA SUPERIORE;IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE
01;002;0220;BOSIO;AL;1240;;PERSANO;STEFANO;M;18/12/1952;BOSIO (AL);Sindaco;26/05/2019;26/05/2019;LISTA CIVICA: BOSIO NEL CUORE;LICENZA DI SCUOLA MEDIA INF. O TITOLI EQUIPOLLENTI;PERSONE RITIRATE DAL LAVORO
01;002;0230;BOZZOLE;AL;331;;BALDI;UGO;M;06/04/1959;CASALE MONFERRATO (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: DUE SPIGHE DI GRANO;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;CONDUTTORI DI AZIENDE AD ORDINAMENTO PRODUTTIVO MISTO E ASSIMILATI
01;002;0240;BRIGNANO FRASCATA;AL;451;;DAVICO;ALESSANDRO;M;20/02/1971;TORTONA (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: INSIEME PER BRIGNANO FRASCATA;LICENZA DI SCUOLA MEDIA INF. O TITOLI EQUIPOLLENTI;CONDUTTORI DI AZIENDE AD ORDINAMENTO PRODUTTIVO MISTO E ASSIMILATI
01;002;0250;CABELLA LIGURE;AL;554;;DAGLIO;ROBERTA;F;01/01/1971;NOVI LIGURE (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: BENE IN COMUNE;LAUREA;IMPIEGATI  AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO
01;002;0260;CAMAGNA MONFERRATO;AL;510;DOTT;SCAGLIOTTI;CLAUDIO;M;18/02/1967;CASALE MONFERRATO (AL);Sindaco;26/05/2019;27/05/2019;;LAUREA;IMPIEGATI  AMMINISTRATIVI NON ALTROVE CLASSIFICATI
01;002;0270;CAMINO;AL;802;GEOM;RONDANO;GIORGIO;M;26/05/1961;CASALE MONFERRATO (AL);Sindaco;26/05/2019;26/05/2019;LISTA CIVICA: UNITI PER CAMINO;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;GEOMETRI E PERITI EDILI
01;002;0280;CANTALUPO LIGURE;AL;549;GEOM;DEBENEDETTI;PIERLUIGI;M;03/07/1950;NOVI LIGURE (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: INSIEME PER CAMBIARE;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;PROFESSIONI NON ALTROVE CLASSIFICABILI
01;002;0290;CAPRIATA D'ORBA;AL;1926;;DAMERI;MARIA CRISTINA;F;25/01/1964;NOVI LIGURE (AL);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: OBIETTIVO CAPRIATA;LICENZA MEDIA SUPERIORE;CONDIZIONI NON PROFESSIONALI
01;002;0300;CARBONARA SCRIVIA;AL;1055;;GNUDI;FLAVIANO;M;29/12/1949;VILLAROMAGNANO (AL);Sindaco;26/05/2019;26/05/2019;LISTA CIVICA: COLOMBE E TORRE CIVICA;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;GEOMETRI E PERITI EDILI
01;002;0301;CARENTINO;AL;325;;CELORIA;SILVIA BARBARA;F;02/02/1981;VOGHERA (PV);Sindaco;26/05/2019;26/05/2019;;;
01;002;0310;CAREZZANO;AL;444;MED;PRATI;LUIGI;M;07/04/1947;TORTONA (AL);Sindaco;11/06/2017;12/06/2017;LISTA CIVICA: INSIEME A PRATI PER CAREZZANO;LAUREA;
01;002;0320;CARPENETO;AL;991;;PISATURO;GERARDO;M;24/10/1982;SALERNO (SA);Sindaco;26/05/2019;27/05/2019;LISTA CIVICA: AMICI PER CARPENETO;;
