lam(nm)   eps1            eps2	
200	0.19325		3.33971
201	0.17959		3.36087
202	0.16481		3.38104
203	0.14455		3.39478
204	0.11537		3.3979
205	0.07904		3.39343
206	0.0398		3.38806
207	0.00154		3.38816
208	-0.03238	3.39959
209	-0.06175	3.42151
210	-0.08763	3.45025
211	-0.1113		3.48155
212	-0.13382	3.51167
213	-0.15603	3.53768
214	-0.17832	3.5602
215	-0.20107	3.58034
216	-0.22458	3.59919
217	-0.24914	3.61773
218	-0.27408	3.63671
219	-0.29823	3.65656
220	-0.32046	3.67766
221	-0.33967	3.70047
222	-0.35492	3.72532
223	-0.36715	3.75147
224	-0.3789		3.77715
225	-0.39255	3.8008
226	-0.41032	3.82081
227	-0.43391	3.83602
228	-0.46196	3.84771
229	-0.49155	3.85833
230	-0.51991	3.87035
231	-0.54434	3.88619
232	-0.56271	3.9078
233	-0.57555	3.93476
234	-0.58508	3.96488
235	-0.59355	3.99603
236	-0.60324	4.02612
237	-0.61607	4.05325
238	-0.6335		4.07607
239	-0.65479	4.09553
240	-0.67868	4.11324
241	-0.70388	4.13081
242	-0.72906	4.14989
243	-0.75311	4.17192
244	-0.77573	4.19727
245	-0.79754	4.22507
246	-0.81938	4.2542
247	-0.84198	4.2836
248	-0.86599	4.31236
249	-0.89229	4.33922
250	-0.92099	4.36396
251	-0.95155	4.38722
252	-0.98325	4.41001
253	-1.01522	4.43356
254	-1.04674	4.45874
255	-1.077		4.48687
256	-1.10567	4.51824
257	-1.13245	4.55275
258	-1.15767	4.58923
259	-1.18138	4.62682
260	-1.20375	4.66458
261	-1.2249		4.70171
262	-1.24486	4.73719
263	-1.2638		4.77116
264	-1.28139	4.80408
265	-1.29771	4.83673
266	-1.31243	4.86988
267	-1.32564	4.90405
268	-1.33711	4.94009
269	-1.34676	4.97847
270	-1.35464	5.01947
271	-1.36055	5.06258
272	-1.36495	5.1067
273	-1.36752	5.15107
274	-1.36867	5.19477
275	-1.36845	5.23711
276	-1.36674	5.277
277	-1.36394	5.3141
278	-1.36016	5.34803
279	-1.35569	5.37879
280	-1.35091	5.40672
281	-1.34596	5.43162
282	-1.34127	5.45355
283	-1.33697	5.47283
284	-1.33337	5.4894
285	-1.33073	5.50314
286	-1.32878	5.51494
287	-1.32714	5.52556
288	-1.32541	5.53579
289	-1.32314	5.54649
290	-1.32002	5.55841
291	-1.31573	5.57216
292	-1.3098		5.58867
293	-1.30184	5.60861
294	-1.29223	5.63134
295	-1.28155	5.65584
296	-1.2704		5.68104
297	-1.25927	5.70586
298	-1.24889	5.72916
299	-1.23978	5.74999
300	-1.23244	5.76746
301	-1.2274		5.78067
302	-1.22489	5.78915
303	-1.2246		5.7936
304	-1.22615	5.79468
305	-1.22886	5.79376
306	-1.23218	5.7917
307	-1.23564	5.78943
308	-1.23878	5.78775
309	-1.2412		5.78752
310	-1.24246	5.78948
311	-1.24215	5.79442
312	-1.24025	5.80238
313	-1.23716	5.81248
314	-1.23348	5.82348
315	-1.22975	5.83432
316	-1.22656	5.84384
317	-1.22437	5.85104
318	-1.22374	5.85492
319	-1.22508	5.85453
320	-1.2289		5.84897
321	-1.23545	5.83753
322	-1.24466	5.82048
323	-1.25585	5.79889
324	-1.26844	5.77383
325	-1.28189	5.74639
326	-1.29563	5.71745
327	-1.30918	5.68808
328	-1.32205	5.65918
329	-1.33377	5.63155
330	-1.34392	5.6061
331	-1.35201	5.58374
332	-1.35766	5.56525
333	-1.36089	5.55074
334	-1.3619		5.53973
335	-1.3609		5.53189
336	-1.35815	5.52683
337	-1.35383	5.5242
338	-1.34814	5.52363
339	-1.34126	5.5248
340	-1.33333	5.5274
341	-1.32461	5.53113
342	-1.31519	5.53566
343	-1.30517	5.54076
344	-1.29492	5.5462
345	-1.28468	5.55186
346	-1.27466	5.55761
347	-1.26512	5.56337
348	-1.25631	5.56907
349	-1.24843	5.57464
350	-1.24168	5.57995
351	-1.23663	5.58493
352	-1.2332		5.58948
353	-1.23157	5.59356
354	-1.2319		5.59712
355	-1.2343		5.60012
356	-1.23882	5.60254
357	-1.2457		5.60438
358	-1.25429	5.60577
359	-1.26438	5.60682
360	-1.27583	5.60759
361	-1.28853	5.60809
362	-1.30261	5.60838
363	-1.31765	5.60853
364	-1.33345	5.60861
365	-1.34989	5.60867
366	-1.36691	5.60877
367	-1.38448	5.60893
368	-1.40229	5.60927
369	-1.42025	5.60977
370	-1.43827	5.61045
371	-1.45614	5.61145
372	-1.47372	5.61272
373	-1.49097	5.61427
374	-1.50783	5.61612
375	-1.5238		5.61846
376	-1.53904	5.62118
377	-1.55353	5.62428
378	-1.56716	5.62778
379	-1.57933	5.63195
380	-1.59043	5.63658
381	-1.60042	5.64166
382	-1.60879	5.64738
383	-1.61573	5.65368
384	-1.62165	5.6603
385	-1.62652	5.66722
386	-1.63018	5.6744
387	-1.63323	5.68163
388	-1.63572	5.68888
389	-1.63749	5.69599
390	-1.63894	5.70286
391	-1.64017	5.70952
392	-1.64121	5.71571
393	-1.64228	5.7214
394	-1.64341	5.72664
395	-1.64476	5.73108
396	-1.64649	5.73476
397	-1.64853	5.73785
398	-1.65119	5.73986
399	-1.65432	5.74107
400	-1.65775	5.7417
401	-1.66164	5.74138
402	-1.6657		5.74059
403	-1.6699		5.73943
404	-1.67419	5.73766
405	-1.6784		5.73571
406	-1.68252	5.73351
407	-1.6864		5.73113
408	-1.69009	5.7287
409	-1.69339	5.72623
410	-1.69623	5.72388
411	-1.69881	5.72162
412	-1.70049	5.71966
413	-1.70177	5.7179
414	-1.70241	5.71645
415	-1.70232	5.71529
416	-1.70191	5.71423
417	-1.70083	5.71324
418	-1.69957	5.71215
419	-1.69807	5.71093
420	-1.69644	5.70927
421	-1.69476	5.70742
422	-1.69312	5.70471
423	-1.6916		5.70163
424	-1.69033	5.69772
425	-1.68936	5.69297
426	-1.68862	5.6876
427	-1.68858	5.68076
428	-1.68875	5.67348
429	-1.68983	5.66431
430	-1.6913		5.65445
431	-1.69364	5.643
432	-1.69658	5.63041
433	-1.70004	5.61676
434	-1.70409	5.60175
435	-1.70837	5.58621
436	-1.71309	5.56926
437	-1.71787	5.55206
438	-1.72283	5.53377
439	-1.72776	5.51527
440	-1.7326		5.49607
441	-1.73728	5.47666
442	-1.74171	5.45688
443	-1.74579	5.43696
444	-1.74952	5.4169
445	-1.75268	5.39683
446	-1.75546	5.37676
447	-1.75742	5.35692
448	-1.75901	5.33718
449	-1.7595		5.31786
450	-1.75963	5.29868
451	-1.75841	5.28017
452	-1.75688	5.26181
453	-1.75415	5.24396
454	-1.75121	5.22619
455	-1.7474		5.20855
456	-1.74346	5.19093
457	-1.73905	5.17307
458	-1.73458	5.15517
459	-1.73001	5.13665
460	-1.72543	5.11803
461	-1.72106	5.09849
462	-1.71674	5.07876
463	-1.71292	5.05782
464	-1.70926	5.03654
465	-1.70635	5.01392
466	-1.70375	4.99076
467	-1.70201	4.96619
468	-1.70078	4.94079
469	-1.70044	4.91401
470	-1.70092	4.886
471	-1.7022		4.85682
472	-1.70468	4.82592
473	-1.7078		4.79429
474	-1.71274	4.76058
475	-1.71796	4.72664
476	-1.72589	4.69042
477	-1.73381	4.65419
478	-1.74492	4.61598
479	-1.75632	4.57759
480	-1.77052	4.53778
481	-1.78587	4.49741
482	-1.80334	4.45618
483	-1.82305	4.41405
484	-1.8439		4.37156
485	-1.86833	4.32793
486	-1.89276	4.28429
487	-1.92217	4.23921
488	-1.95168	4.1941
489	-1.98494	4.14804
490	-2.01986	4.10155
491	-2.05698	4.05452
492	-2.09763	4.00661
493	-2.13861	3.95861
494	-2.18525	3.90918
495	-2.2319		3.85974
496	-2.28286	3.8092
497	-2.33564	3.75819
498	-2.39021	3.70673
499	-2.44847	3.65434
500	-2.50672	3.60195
501	-2.56888	3.54881
502	-2.63134	3.4956
503	-2.69548	3.44224
504	-2.76126	3.38872
505	-2.82719	3.33521
506	-2.89532	3.28201
507	-2.96344	3.2288
508	-3.03248	3.17621
509	-3.10213	3.12403
510	-3.17189	3.07203
511	-3.24253	3.02154
512	-3.31318	2.97104
513	-3.38406	2.92206
514	-3.45511	2.87413
515	-3.52616	2.82637
516	-3.59709	2.78195
517	-3.66801	2.73754
518	-3.73876	2.69525
519	-3.80929	2.65528
520	-3.87983	2.61531
521	-3.94966	2.58023
522	-4.0194		2.54577
523	-4.08898	2.51276
524	-4.15814	2.48375
525	-4.2273		2.45475
526	-4.29621	2.42873
527	-4.36498	2.40454
528	-4.43375	2.38035
529	-4.50228	2.36012
530	-4.57079	2.3401
531	-4.6393		2.32093
532	-4.7078		2.30435
533	-4.7763		2.28778
534	-4.84477	2.27266
535	-4.91319	2.25887
536	-4.98162	2.24507
537	-5.05009	2.23284
538	-5.11856	2.22108
539	-5.18704	2.20933
540	-5.25545	2.19886
541	-5.32385	2.18842
542	-5.39223	2.17807
543	-5.46048	2.16819
544	-5.52872	2.15832
545	-5.5969		2.14837
546	-5.66496	2.13826
547	-5.73302	2.12815
548	-5.8009		2.11761
549	-5.86854	2.10653
550	-5.93619	2.09546
551	-6.00367	2.08374
552	-6.07102	2.0715
553	-6.13838	2.05926
554	-6.20556	2.04644
555	-6.27264	2.03326
556	-6.33971	2.02008
557	-6.40667	2.00645
558	-6.47357	1.99259
559	-6.54047	1.97872
560	-6.60738	1.96454
561	-6.67429	1.95019
562	-6.74121	1.93584
563	-6.80821	1.92135
564	-6.87526	1.90677
565	-6.94232	1.89219
566	-7.00946	1.87762
567	-7.07668	1.86304
568	-7.14391	1.84847
569	-7.21135	1.834
570	-7.27906	1.81965
571	-7.34677	1.80531
572	-7.41464	1.79111
573	-7.48285	1.77724
574	-7.55106	1.76337
575	-7.61939	1.74961
576	-7.68839	1.73643
577	-7.7574		1.72326
578	-7.8264		1.71008
579	-7.89626	1.6978
580	-7.96616	1.68555
581	-8.03605	1.67331
582	-8.10666	1.6619
583	-8.17754	1.65081
584	-8.24841	1.63971
585	-8.31978	1.62911
586	-8.39173	1.6191
587	-8.46368	1.60909
588	-8.53574	1.59922
589	-8.60847	1.59013
590	-8.6812		1.58105
591	-8.75392	1.57196
592	-8.82723	1.56345
593	-8.90069	1.5551
594	-8.97415	1.54674
595	-9.0478		1.53861
596	-9.12172	1.53081
597	-9.19563	1.523
598	-9.26955	1.5152
599	-9.34371	1.50776
600	-9.41788	1.50033
601	-9.49205	1.4929
602	-9.56628	1.48557
603	-9.64058	1.47832
604	-9.71487	1.47106
605	-9.78917	1.46381
606	-9.86331	1.45657
607	-9.93745	1.44932
608	-10.01159	1.44208
609	-10.08561	1.43474
610	-10.1595	1.4273
611	-10.23339	1.41986
612	-10.30728	1.41242
613	-10.38069	1.40464
