x y
30.02500 1672.0
30.07500 1631.0
30.12500 1620.0
30.17500 1658.0
30.22500 1551.0
30.27500 1664.0
30.32500 1533.0
30.37500 1598.0
30.42500 1692.0
30.47500 1561.0
30.52500 1634.0
30.57500 1548.0
30.62500 1526.0
30.67500 1578.0
30.72500 1611.0
30.77500 1624.0
30.82500 1543.0
30.87500 1523.0
30.92500 1516.0
30.97500 1606.0
31.02500 1535.0
31.07500 1471.0
31.12500 1520.0
31.17500 1485.0
31.22500 1560.0
31.27500 1523.0
31.32500 1496.0
31.37500 1439.0
31.42500 1498.0
31.47500 1477.0
31.52500 1527.0
31.57500 1539.0
31.62500 1475.0
31.67500 1517.0
31.72500 1476.0
31.77500 1432.0
31.82500 1485.0
31.87500 1496.0
31.92500 1404.0
31.97500 1379.0
32.02500 1507.0
32.07500 1483.0
32.12500 1476.0
32.17500 1441.0
32.22500 1425.0
32.27500 1473.0
32.32500 1415.0
32.37500 1405.0
32.42500 1332.0
32.47500 1350.0
32.52500 1411.0
32.57500 1351.0
32.62500 1476.0
32.67500 1406.0
32.72500 1413.0
32.77500 1445.0
32.82500 1388.0
32.87500 1387.0
32.92500 1447.0
32.97500 1380.0
33.02500 1420.0
33.07500 1371.0
33.12500 1344.0
33.17500 1331.0
33.22500 1375.0
33.27500 1335.0
33.32500 1417.0
33.37500 1347.0
33.42500 1382.0
33.47500 1387.0
33.52500 1394.0
33.57500 1363.0
33.62500 1342.0
33.67500 1257.0
33.72500 1338.0
33.77500 1323.0
33.82500 1375.0
33.87500 1303.0
33.92500 1355.0
33.97500 1327.0
34.02500 1361.0
34.07500 1371.0
34.12500 1332.0
34.17500 1453.0
34.22500 1377.0
34.27500 1371.0
34.32500 1331.0
34.37500 1380.0
34.42500 1333.0
34.47500 1307.0
34.52500 1354.0
34.57500 1338.0
34.62500 1353.0
34.67500 1301.0
34.72500 1378.0
34.77500 1317.0
34.82500 1342.0
34.87500 1346.0
34.92500 1259.0
34.97500 1329.0
35.02500 1357.0
35.07500 1362.0
35.12500 1332.0
35.17500 1327.0
35.22500 1350.0
35.27500 1447.0
35.32500 1413.0
35.37500 1422.0
35.42500 1418.0
35.47500 1348.0
35.52500 1427.0
35.57500 1434.0
35.62500 1509.0
35.67500 1487.0
35.72500 1453.0
35.77500 1517.0
35.82500 1560.0
35.87500 1642.0
35.92500 1568.0
35.97500 1563.0
36.02500 1723.0
36.07500 1693.0
36.12500 1704.0
36.17500 1665.0
36.22500 1785.0
36.27500 1740.0
36.32500 1751.0
36.37500 1777.0
36.42500 1820.0
36.47500 1866.0
36.52500 1846.0
36.57500 1929.0
36.62500 1873.0
36.67500 1900.0
36.72500 1925.0
36.77500 1993.0
36.82500 2083.0
36.87500 2147.0
36.92500 2165.0
36.97500 2169.0
37.02500 2256.0
37.07500 2333.0
37.12500 2529.0
37.17500 2494.0
37.22500 2680.0
37.27500 2855.0
37.32500 2962.0
37.37500 3244.0
37.42500 3529.0
37.47500 3829.0
37.52500 4097.0
37.57500 4668.0
37.62500 5087.0
37.67500 5737.0
37.72500 6586.0
37.77500 7287.0
37.82500 8522.0
37.87500 9771.0
37.92500 11521.0
37.97500 13104.0
38.02500 14304.0
38.07500 15904.0
38.12500 17153.0
38.17500 18330.0
38.22500 18731.0
38.27500 19027.0
38.32500 18703.0
38.37500 18037.0
38.42500 17007.0
38.47500 16028.0
38.52500 14580.0
38.57500 13138.0
38.62500 11734.0
38.67500 10376.0
38.72500 9105.0
38.77500 8061.0
38.82500 7100.0
38.87500 6469.0
38.92500 5686.0
38.97500 5226.0
39.02500 4791.0
39.07500 4260.0
39.12500 3906.0
39.17500 3625.0
39.22500 3405.0
39.27500 3250.0
39.32500 3008.0
39.37500 2819.0
39.42500 2588.0
39.47500 2544.0
39.52500 2426.0
39.57500 2321.0
39.62500 2243.0
39.67500 2105.0
39.72500 2056.0
39.77500 1984.0
39.82500 1909.0
39.87500 1842.0
39.92500 1857.0
39.97500 1831.0
40.02500 1772.0
40.07500 1705.0
40.12500 1720.0
40.17500 1659.0
40.22500 1637.0
40.27500 1563.0
40.32500 1539.0
40.37500 1559.0
40.42500 1517.0
40.47500 1507.0
40.52500 1461.0
40.57500 1427.0
40.62500 1479.0
40.67500 1451.0
40.72500 1438.0
40.77500 1410.0
40.82500 1321.0
40.87500 1396.0
40.92500 1362.0
40.97500 1398.0
41.02500 1346.0
41.07500 1381.0
41.12500 1396.0
41.17500 1349.0
41.22500 1314.0
41.27500 1288.0
41.32500 1337.0
41.37500 1277.0
41.42500 1315.0
41.47500 1296.0
41.52500 1336.0
41.57500 1299.0
41.62500 1267.0
41.67500 1366.0
41.72500 1244.0
41.77500 1351.0
41.82500 1305.0
41.87500 1308.0
41.92500 1316.0
41.97500 1329.0
42.02500 1359.0
42.07500 1325.0
42.12500 1427.0
42.17500 1318.0
42.22500 1391.0
42.27500 1308.0
