 ,Area,Major,Minor,Angle
1,129.933,13.139,12.591,28.066
2,440.451,25.307,22.160,157.494
3,299.507,21.735,17.545,17.894
4,455.867,24.334,23.853,6.947
5,262.068,18.897,17.658,44.863
6,658.475,33.930,24.709,70.179
7,266.473,19.659,17.258,107.487
8,517.530,26.260,25.093,74.895
9,178.383,17.027,13.339,154.710
10,332.541,21.491,19.701,100.812
11,506.519,27.088,23.808,144.014
12,416.226,25.261,20.980,28.192
13,363.372,22.816,20.278,9.110
14,676.093,43.307,19.877,46.715
15,374.384,23.340,20.424,129.249
16,365.574,23.305,19.972,121.478
17,519.732,29.697,22.283,65.476
18,376.586,23.588,20.328,118.834
19,204.810,17.977,14.506,154.281
20,299.507,20.749,18.379,87.288
21,676.093,34.344,25.065,115.916
22,427.238,24.258,22.425,126.623
23,407.417,24.602,21.085,173.278
24,290.698,20.357,18.182,132.562
25,436.047,24.247,22.897,63.884
26,352.361,25.693,17.461,11.342
27,546.159,29.964,23.208,101.288
28,477.890,27.627,22.025,94.879
29,376.586,22.988,20.858,79.273
30,372.181,23.171,20.451,119.885
31,264.271,19.081,17.634,135.348
32,632.047,32.504,24.758,109.943
33,409.620,24.130,21.614,140.182
34,350.159,22.430,19.877,47.053
35,585.800,30.419,24.520,165.340
36,436.047,24.392,22.762,111.407
37,321.529,21.228,19.285,173.974
38,380.990,22.824,21.254,118.397
39,356.765,22.583,20.114,2.817
40,312.720,22.739,17.510,7.146
41,462.474,30.548,19.276,96.186
42,539.553,28.977,23.707,45.458
43,405.215,22.990,22.441,171.414
44,429.440,24.797,22.050,160.390
45,336.945,22.657,18.935,77.393
46,255.462,18.437,17.642,124.417
47,392.002,23.122,21.586,32.884
48,173.978,15.602,14.198,145.435
49,284.091,20.468,17.672,46.444
50,290.698,19.942,18.560,22.581
51,297.305,20.802,18.197,132.488
52,392.002,24.889,20.054,130.697
53,488.901,27.762,22.423,118.659
54,709.126,45.907,19.668,61.643
55,444.856,26.563,21.323,94.837
56,198.203,16.635,15.170,33.875
57,572.587,32.977,22.108,39.410
58,317.125,21.166,19.076,162.106
59,396.406,24.013,21.018,45.611
60,521.935,28.618,23.221,74.743
61,405.215,24.290,21.240,46.274
62,275.282,19.296,18.165,145.983
63,372.181,22.797,20.787,108.643
64,603.418,29.469,26.072,6.843
65,559.373,27.780,25.638,99.190
66,495.508,28.222,22.355,18.193
67,607.823,31.470,24.592,16.165
68,372.181,22.475,21.085,103.783
69,162.967,15.217,13.635,155.985
70,669.486,30.343,28.092,173.286
71,259.866,19.499,16.969,170.005
72,480.092,27.260,22.423,109.172
73,248.855,19.712,16.074,87.665
74,255.462,20.010,16.255,42.089
75,535.148,28.668,23.768,59.323
76,286.293,20.429,17.843,143.659
77,231.237,18.269,16.116,103.644
78,156.360,15.179,13.116,153.714
79,418.429,25.584,20.824,56.370
80,616.632,32.255,24.341,46.762
81,284.091,22.238,16.266,113.953
82,323.732,22.390,18.410,89.706
83,383.193,22.785,21.413,99.888
84,671.688,31.650,27.021,67.330
85,387.597,24.560,20.094,29.625
86,462.474,26.125,22.540,112.536
87,334.743,24.456,17.428,155.693
88,110.113,12.104,11.583,146.162
89,308.316,21.169,18.544,167.579
90,235.641,18.639,16.097,139.561
91,218.023,17.308,16.039,22.898
92,292.900,20.254,18.413,64.400
93,268.675,20.069,17.046,100.419
94,277.484,19.211,18.390,116.887
95,211.417,17.236,15.617,72.665
96,288.496,21.241,17.293,153.336
97,462.474,25.575,23.024,49.972
98,363.372,23.792,19.446,5.704
99,323.732,21.142,19.497,165.975
100,105.708,12.757,10.551,173.719
101,242.248,18.240,16.910,177.859
102,541.755,29.218,23.608,85.556
103,458.069,25.571,22.808,23.550
104,513.126,27.157,24.058,149.707
105,63.865,9.759,8.332,29.073
106,704.722,38.323,23.413,5.915
