 ,Area,X,Y,Major,Minor,Angle
1,412.754,371.923,18.198,24.820,21.174,40.963
2,445.887,566.021,27.191,27.857,20.380,82.229
3,302.075,280.110,31.169,20.487,18.774,124.448
4,480.782,133.226,35.143,27.260,22.456,99.611
5,511.448,216.599,34.190,27.690,23.517,64.458
6,344.725,311.704,53.084,22.103,19.858,90.421
7,361.997,343.916,54.185,22.340,20.631,128.265
8,407.467,169.190,55.258,23.620,21.965,43.305
9,446.944,587.533,63.230,25.649,22.187,123.215
10,219.595,108.485,61.694,17.857,15.657,72.262
11,431.435,10.728,66.508,27.579,19.918,110.672
12,346.135,546.208,72.775,23.028,19.138,81.440
13,299.608,206.155,72.585,20.068,19.009,65.317
14,301.370,292.965,79.469,20.798,18.450,124.795
15,244.621,363.517,78.061,18.423,16.906,7.499
16,728.223,133.561,85.533,33.202,27.926,31.936
17,450.117,83.336,83.565,26.337,21.761,86.486
18,382.793,466.032,89.740,24.839,19.622,171.172
19,290.443,414.433,89.448,20.692,17.871,6.819
20,629.881,323.221,113.312,32.095,24.988,75.720
21,573.484,195.228,114.471,28.355,25.751,57.644
22,487.479,272.104,116.696,27.288,22.746,20.996
23,276.697,161.922,118.936,20.084,17.542,85.125
24,364.816,422.165,125.179,22.064,21.052,114.599
25,338.381,124.874,126.112,21.920,19.655,122.289
26,599.920,368.441,134.447,31.338,24.374,52.738
27,493.119,12.700,138.141,28.304,22.183,75.363
28,402.179,87.814,143.551,22.911,22.351,82.573
29,148.746,467.339,147.247,14.605,12.968,59.620
30,635.168,254.844,158.484,30.982,26.103,95.024
31,304.895,181.510,156.798,20.758,18.701,97.661
32,185.404,568.170,155.055,15.826,14.916,117.592
33,331.331,214.979,163.437,27.701,15.229,81.407
34,529.424,526.551,166.806,28.000,24.074,69.984
35,529.424,128.416,167.476,28.730,23.463,2.755
36,347.545,377.870,169.832,25.754,17.182,53.871
37,68.381,183.683,181.433,9.588,9.080,51.070
38,532.949,74.189,201.358,26.776,25.342,131.867
39,173.772,566.765,197.721,15.083,14.669,165.793
40,671.474,389.290,209.309,30.483,28.047,83.944
41,707.779,271.624,210.824,32.432,27.787,172.697
42,409.229,216.627,212.758,23.666,22.017,20.344
43,369.399,113.026,215.383,23.989,19.606,22.970
44,702.845,165.240,224.668,40.420,22.140,113.830
45,690.508,34.181,228.994,32.432,27.108,100.341
46,515.325,532.408,225.723,27.129,24.185,171.808
47,249.556,578.504,226.812,18.674,17.015,15.258
48,401.474,443.145,239.048,26.967,18.955,159.792
49,231.579,307.309,241.778,18.795,15.688,81.693
50,203.381,371.824,250.286,16.416,15.774,115.722
51,373.276,336.569,253.076,22.487,21.135,83.859
52,352.832,524.078,252.936,22.726,19.768,163.868
53,504.398,239.189,259.226,28.314,22.682,79.491
54,294.673,142.910,257.019,21.290,17.623,70.159
55,406.057,560.368,265.162,23.641,21.869,47.122
56,593.928,283.440,277.495,30.176,25.060,0.306
57,267.180,8.348,276.408,19.853,17.136,70.278
58,281.631,194.345,276.902,21.226,16.894,69.588
59,487.832,322.960,284.590,26.634,23.321,49.443
60,236.514,40.427,284.519,20.465,14.714,60.901
61,374.686,485.778,286.705,22.321,21.373,52.922
62,250.261,388.549,285.705,18.614,17.118,57.242
63,312.297,584.956,298.557,21.880,18.173,47.120
64,631.644,539.902,304.431,29.458,27.301,31.299
65,258.368,251.655,307.894,19.085,17.237,65.878
66,473.380,378.669,311.628,25.473,23.661,120.233
67,301.018,29.055,314.080,20.106,19.063,8.595
68,664.072,79.413,322.904,31.468,26.869,11.179
69,289.738,213.871,321.518,20.760,17.770,44.446
70,758.536,345.548,337.397,44.761,21.577,73.125
71,293.263,494.887,326.736,21.831,17.103,84.238
72,303.837,587.559,331.152,22.123,17.487,81.377
73,366.931,172.369,331.643,23.523,19.861,33.497
74,649.620,283.817,337.283,33.329,24.817,41.375
75,609.437,421.230,339.546,32.658,23.760,100.244
76,278.106,239.141,339.765,19.235,18.409,107.673
77,265.770,381.659,347.869,20.581,16.442,80.160
78,469.855,472.073,354.778,24.854,24.071,67.468
79,449.764,42.800,362.976,26.526,21.589,108.790
80,115.966,181.837,357.711,12.553,11.762,114.191
81,501.931,531.813,365.155,27.669,23.098,156.862
82,431.435,108.326,366.164,24.854,22.102,101.410
83,445.534,222.894,375.971,24.936,22.749,77.134
84,165.665,436.013,370.715,17.434,12.099,33.040
85,293.616,145.725,376.808,20.738,18.027,121.603
86,374.333,395.211,384.920,24.413,19.523,21.743
87,395.482,506.532,401.180,23.249,21.659,92.782
88,173.068,169.371,397.713,15.519,14.199,165.723
