Position,Height cm,kg,Age
0,198,85,29
0,192,76,37
0,210,114,24
0,185,81,25
0,198,85,23
0,210,114,29
0,210,114,29
0,210,114,29
0,210,114,28
0,210,114,26
0,192,76,27
0,185,81,23
0,210,114,27
0,192,76,27
0,185,76,27
0,210,114,31
0,185,81,27
0,185,81,26
0,210,114,25
0,155,73,24
0,210,114,27
0,210,114,33
0,185,81,27
0,182,78,25
1,216,112,28
1,219,117,29
1,185,126,28
1,213,110,25
1,213,114,29
1,216,112,30
1,185,126,30
1,216,112,29
1,216,112,25
1,213,108,31
1,210,126,28
1,216,146,23
1,216,112,30
1,213,114,30
1,219,117,31
1,216,112,37
1,216,117,31
1,225,112,30
1,216,146,28
1,213,114,32
1,213,108,25
1,213,114,25
1,216,146,20
1,222,125,31
1,216,146,22
1,213,114,26
1,185,126,33
1,216,112,21
1,219,117,26
1,185,126,22
1,213,108,31
1,185,108,31
1,216,146,31
1,219,117,22
1,213,114,22
1,185,108,22
1,216,146,27
1,216,112,23
1,225,112,35
1,216,112,23
1,216,146,23
1,219,117,24
1,185,108,23
1,219,117,21
1,185,108,23
1,216,146,23
1,216,146,23
1,219,117,23
1,185,108,24
1,216,146,25
1,216,146,24
1,216,146,27
1,216,146,21
1,216,146,24
1,216,146,25
1,216,146,27
1,186,116,24
1,216,146,25
1,222,117,24
1,231,139,25
1,216,146,25
1,219,117,25
1,186,108,22
1,213,117,25
1,216,146,22
1,231,139,26
1,231,139,25
1,186,108,25
1,231,139,25
1,186,119,24
1,231,139,26
1,213,117,24
1,186,119,23
1,186,119,24
1,231,139,26
1,186,119,27
1,186,119,23
1,186,119,22
1,213,128,25
1,186,119,27
1,186,119,25
1,213,117,23
1,186,119,21
1,213,119,27
1,186,119,23
1,213,119,23
1,186,119,22
1,186,119,26
1,186,119,26
1,186,119,26
1,186,119,29
1,186,119,26
1,186,119,26
1,213,128,24
1,213,128,28
1,186,119,24
1,216,114,30
1,210,117,20
1,186,121,29
1,213,120,29
1,213,120,27
1,186,121,25
1,213,109,25
1,186,121,30
1,213,120,27
1,186,121,25
1,186,125,22
0,185,76,28
0,185,81,22
0,210,114,27
0,192,76,26
0,155,73,26
0,182,78,29
0,185,81,35
0,185,76,26
0,185,85,29
0,185,81,26
0,182,78,26
0,185,76,24
0,182,78,30
0,188,87,24
0,182,75,23
0,195,94,24
0,192,78,27
0,185,76,24
0,204,87,23
0,182,67,27
0,182,78,27
0,185,81,26
0,195,94,31
0,155,81,25
0,204,87,28
0,185,81,24
0,182,78,24
0,155,81,28
0,195,94,24
0,195,94,26
0,195,94,25
0,182,76,29
0,195,94,25
0,195,94,29
0,182,76,24
0,185,76,26
0,195,94,29
0,192,90,26
0,195,94,23
0,195,94,30
0,192,90,26
0,195,94,30
0,195,94,26
0,195,94,27
0,195,94,30
0,195,94,30
0,182,78,30
0,182,74,23
0,195,94,27
0,182,78,30
0,192,90,27
0,192,90,20
0,182,78,28
0,195,94,27
0,182,78,24
0,192,90,31
0,182,78,31
0,182,78,28
0,182,78,24
0,192,85,28
0,192,90,28
0,185,88,23
0,192,85,31
0,192,85,23
0,192,90,21
0,182,78,28
0,185,83,31
0,182,78,28
0,192,85,29
0,155,87,27
0,192,85,21
0,195,94,28
0,155,87,22
0,182,78,28
0,188,83,32
0,195,94,32
0,185,88,32
0,195,94,32
0,201,85,22
0,179,83,23
0,182,78,25
0,179,83,28
0,188,83,29
0,195,94,31
0,185,88,23
0,192,90,33
0,185,88,26
0,185,88,22
0,179,83,30
0,195,94,29
0,182,78,25
1,219,101,26
1,186,103,24
1,185,96,30
1,185,108,34
1,185,108,27
1,213,108,30
1,185,96,26
1,213,108,24
1,213,103,30
1,213,108,34
1,213,114,24
1,213,103,28
1,213,108,25
1,213,114,24
1,216,112,32
1,216,112,31
1,186,103,32
1,213,114,25
1,216,112,31
1,213,108,25
1,213,108,30
1,210,94,29
1,216,112,32
1,213,110,30
1,213,110,27
1,185,108,27
1,213,114,33
1,219,117,26
1,213,108,30
1,186,103,27
1,213,114,28
1,213,108,27
1,213,114,32
1,185,126,38
1,216,112,28
1,213,108,29
1,216,112,29
1,216,146,25
