drink_alcohol,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,famrel,freetime,goout,health,absences,Marks
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,mother,2,2,4,3,4,3,4,11
0,GP,F,17,U,GT3,T,1,1,at_home,other,father,1,2,5,3,3,3,2,11
1,GP,F,15,U,LE3,T,1,1,at_home,other,mother,1,2,4,3,2,3,6,12
0,GP,F,15,U,GT3,T,4,2,health,services,mother,1,3,3,2,2,5,0,14
0,GP,F,16,U,GT3,T,3,3,other,other,father,1,2,4,3,2,5,0,13
0,GP,M,16,U,LE3,T,4,3,services,other,mother,1,2,5,4,2,5,6,13
0,GP,M,16,U,LE3,T,2,2,other,other,mother,1,2,4,4,4,3,0,13
0,GP,F,17,U,GT3,A,4,4,other,teacher,mother,2,2,4,1,4,1,2,13
0,GP,M,15,U,LE3,A,3,2,services,other,mother,1,2,4,2,2,1,0,17
0,GP,M,15,U,GT3,T,3,4,other,other,mother,1,2,5,5,1,5,0,13
0,GP,F,15,U,GT3,T,4,4,teacher,health,mother,1,2,3,3,3,2,2,14
0,GP,F,15,U,GT3,T,2,1,services,other,father,3,3,5,2,2,4,0,13
1,GP,M,15,U,LE3,T,4,4,health,services,father,1,1,4,3,3,5,0,12
0,GP,M,15,U,GT3,T,4,3,teacher,other,mother,2,2,5,4,3,3,0,13
0,GP,M,15,U,GT3,A,2,2,other,other,other,1,3,4,5,2,3,0,15
0,GP,F,16,U,GT3,T,4,4,health,other,mother,1,1,4,4,4,2,6,17
0,GP,F,16,U,GT3,T,4,4,services,services,mother,1,3,3,2,3,2,10,14
0,GP,F,16,U,GT3,T,3,3,other,other,mother,3,2,5,3,2,4,2,14
1,GP,M,17,U,GT3,T,3,2,services,services,mother,1,1,5,5,5,5,2,7
1,GP,M,16,U,LE3,T,4,3,health,other,father,1,1,3,1,3,5,6,12
0,GP,M,15,U,GT3,T,4,3,teacher,other,mother,1,2,4,4,1,1,0,14
0,GP,M,15,U,GT3,T,4,4,health,health,father,1,1,5,4,2,5,0,12
1,GP,M,16,U,LE3,T,4,2,teacher,other,mother,1,2,4,5,1,5,0,14
1,GP,M,16,U,LE3,T,2,2,other,other,mother,2,2,5,4,4,5,2,10
0,GP,F,15,R,GT3,T,2,4,services,health,mother,1,3,4,3,2,5,2,10
1,GP,F,16,U,GT3,T,2,2,services,services,mother,1,1,1,2,2,5,6,12
0,GP,M,15,U,GT3,T,2,2,other,other,mother,1,1,4,2,2,5,8,12
1,GP,M,15,U,GT3,T,4,2,health,services,mother,1,1,2,2,4,1,0,11
0,GP,M,16,U,LE3,A,3,4,services,other,mother,1,2,5,3,3,5,2,13
1,GP,M,16,U,GT3,T,4,4,teacher,teacher,mother,1,2,4,4,5,5,4,12
1,GP,M,15,U,GT3,T,4,4,health,services,mother,1,2,5,4,2,5,0,11
0,GP,M,15,U,GT3,T,4,4,services,services,mother,2,2,4,3,1,5,2,15
